crop,state,date,avg_modal_price
brinjal,Uttrakhand,2023-07-31,1756.6666666666667
brinjal,Uttrakhand,2023-08-31,2000.0
brinjal,Uttrakhand,2025-05-31,975.0
brinjal,West Bengal,2023-07-31,3108.108108108108
brinjal,West Bengal,2023-08-31,2917.1052631578946
brinjal,West Bengal,2025-05-31,3171.4285714285716
broomstick(flower broom),Meghalaya,2023-08-31,8000.0
bull,Telangana,2023-08-31,15000.0
bunch beans,Karnataka,2023-07-31,2700.0
bunch beans,Karnataka,2023-08-31,2325.0
cabbage,Bihar,2023-07-31,2100.0
cabbage,Chattisgarh,2023-07-31,1200.0
cabbage,Chattisgarh,2023-08-31,1700.0
cabbage,Gujarat,2023-07-31,2105.128205128205
cabbage,Gujarat,2023-08-31,2071.6666666666665
cabbage,Gujarat,2025-05-31,1090.0
cabbage,Haryana,2023-07-31,1576.5625
cabbage,Haryana,2023-08-31,1710.0
cabbage,Haryana,2025-05-31,828.5714285714286
cabbage,Himachal Pradesh,2023-07-31,1701.7241379310344
cabbage,Himachal Pradesh,2023-08-31,2080.769230769231
cabbage,Himachal Pradesh,2025-05-31,1111.111111111111
cabbage,Jammu And Kashmir,2023-07-31,2100.0
cabbage,Jammu And Kashmir,2023-08-31,2000.0
cabbage,Jammu And Kashmir,2025-05-31,1075.0
cabbage,Karnataka,2023-07-31,1083.3846153846155
cabbage,Karnataka,2023-08-31,1215.0
cabbage,Kerala,2023-07-31,2965.15625
cabbage,Kerala,2023-08-31,2932.7586206896553
cabbage,Kerala,2025-05-31,2500.0
cabbage,Madhya Pradesh,2023-07-31,862.5
cabbage,Madhya Pradesh,2023-08-31,1170.0
cabbage,Maharashtra,2023-07-31,1058.4375
cabbage,Maharashtra,2023-08-31,1213.904761904762
cabbage,Meghalaya,2023-07-31,2700.0
cabbage,Meghalaya,2023-08-31,9666.666666666666
cabbage,Nagaland,2023-07-31,7257.142857142857
cabbage,Nagaland,2023-08-31,7010.0
cabbage,Nagaland,2025-05-31,4100.0
cabbage,Nct Of Delhi,2023-07-31,1600.0
cabbage,Nct Of Delhi,2023-08-31,1667.0
